transaction_id,fiscal_year,txn_date,source_type,source_file,source_locator,account_owner,account_name,payment_method,card_last4,counterparty,description,amount,currency,cad_amount,fx_rate_to_cad,linked_document_ids,receipt_status,notes
tx-2025-bank-20250106-e25d5b4283,2025,2025-01-06,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=5,corporate,TD Business Chequing,chequing,,Tax payment/fee,TAX PYT FEE,-2.00,CAD,-2.00,,,not_applicable,
tx-2025-bank-20250107-53a7312e1f,2025,2025-01-07,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=6,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***d5n,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250113-0d3ba02571,2025,2025-01-13,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=7,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***T3z,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250115-e634606b63,2025,2025-01-15,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=8,corporate,TD Business Chequing,chequing,,TD Transfer,HW293 TFR-TO 6084079,-5000.00,CAD,-5000.00,,doc-20250115-td-canada-trust-5000.00CAD-37dac430b6,found,
tx-2025-bank-20250115-16de4289f2,2025,2025-01-15,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=9,corporate,TD Business Chequing,chequing,,TD Transfer,HW311 TFR-TO C/C,-1947.06,CAD,-1947.06,,doc-20250115-td-canada-trust-1947.06CAD-bb984292db,found,
tx-2025-bank-20250117-0180d16fa3,2025,2025-01-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=10,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***6CW,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250117-23de6b197b,2025,2025-01-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=11,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***nmf,2625.00,CAD,2625.00,,,missing,
tx-2025-bank-20250120-004be6daa8,2025,2025-01-20,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=12,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***SHP,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250124-a7161d2055,2025,2025-01-24,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=13,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***w3z,2000.00,CAD,2000.00,,,missing,
tx-2025-bank-20250127-4c16005c55,2025,2025-01-27,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=14,corporate,TD Business Chequing,chequing,,Tax payment/fee,GST-P 4098080    BUS,-1400.00,CAD,-1400.00,,,not_applicable,
tx-2025-bank-20250131-67e22a8356,2025,2025-01-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=15,corporate,TD Business Chequing,chequing,,TD Transfer,JJ074 TFR-TO 6084079,-3600.00,CAD,-3600.00,,doc-20250131-td-canada-trust-3600.00CAD-63b30c7abf,found,
tx-2025-bank-20250131-07f4737857,2025,2025-01-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=16,corporate,TD Business Chequing,chequing,,TD Transfer,JJ005 TFR-FR 6084079,2100.00,CAD,2100.00,,doc-20250131-td-canada-trust-2100.00CAD-8305c7e05e,found,
tx-2025-bank-20250131-23fc30d8c0,2025,2025-01-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=17,corporate,TD Business Chequing,chequing,,TD Transfer,JW024 TFR-TO C/C,-2100.00,CAD,-2100.00,,doc-20250131-td-canada-trust-2100.00CAD-404f7d4770,found,
tx-2025-bank-20250131-ce59bc2c2a,2025,2025-01-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=18,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***HjY,2200.00,CAD,2200.00,,,missing,
tx-2025-bank-20250131-132942bcef,2025,2025-01-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=19,corporate,TD Business Chequing,chequing,,Bank fee,MONTHLY PLAN FEE,-19.00,CAD,-19.00,,,not_applicable,
tx-2025-bank-20250203-d073c1a1a8,2025,2025-02-03,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=20,corporate,TD Business Chequing,chequing,,TD Transfer,UQ423 TFR-TO 6084079,-10000.00,CAD,-10000.00,,doc-20250201-td-canada-trust-10000.00CAD-eccdf8a5c2,found,
tx-2025-bank-20250203-28521912ef,2025,2025-02-03,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=21,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***KDQ,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250203-625063ab61,2025,2025-02-03,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=22,corporate,TD Business Chequing,chequing,,Tax payment/fee,TAX PYT FEE,-2.00,CAD,-2.00,,,not_applicable,
tx-2025-bank-20250204-230f4be6d7,2025,2025-02-04,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=23,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***QRz,-1050.00,CAD,-1050.00,,,missing,
tx-2025-bank-20250212-b0405c4b73,2025,2025-02-12,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=24,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***7Yg,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250212-21a7ae748e,2025,2025-02-12,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=25,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***yBj,2625.00,CAD,2625.00,,,missing,
tx-2025-bank-20250213-ba5ac4bf6a,2025,2025-02-13,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=26,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***G2Y,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250214-c37a334c75,2025,2025-02-14,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=27,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***zf6,1575.00,CAD,1575.00,,,missing,
tx-2025-bank-20250218-7d94d71d94,2025,2025-02-18,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=28,corporate,TD Business Chequing,chequing,,TD Transfer,UW360 TFR-TO 6084079,-700.00,CAD,-700.00,,doc-20250215-td-canada-trust-700.00CAD-ff9bd9dda5,found,
tx-2025-bank-20250218-bb644eac3a,2025,2025-02-18,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=29,corporate,TD Business Chequing,chequing,,TD Transfer,UW303 TFR-TO C/C,-1353.13,CAD,-1353.13,,doc-20250315-td-canada-trust-1768.37CAD-d00611e413,found,
tx-2025-bank-20250218-53f32d09d8,2025,2025-02-18,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=30,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***Dwg,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250224-8f6ca39c01,2025,2025-02-24,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=31,corporate,TD Business Chequing,chequing,,TD Transfer,RJ111 TFR-TO 6084079,-7300.00,CAD,-7300.00,,doc-20250224-td-canada-trust-7300.00CAD-0341315f5a,found,
tx-2025-bank-20250224-fb883b94d2,2025,2025-02-24,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=32,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***kKu,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250225-c2700d8c8e,2025,2025-02-25,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=33,corporate,TD Business Chequing,chequing,,Tax payment/fee,GST-B 4245035    BUS,-317.55,CAD,-317.55,,,not_applicable,
tx-2025-bank-20250225-0de7fc474e,2025,2025-02-25,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=34,corporate,TD Business Chequing,chequing,,Tax payment/fee,TXBAL 4241660    BUS,-1689.00,CAD,-1689.00,,,not_applicable,
tx-2025-bank-20250228-df33c09a7b,2025,2025-02-28,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=35,corporate,TD Business Chequing,chequing,,TD Transfer,JL573 TFR-TO 6084079,-2400.00,CAD,-2400.00,,doc-20250228-td-canada-trust-2400.00CAD-3517875d8a,found,
tx-2025-bank-20250228-bd9eb2567b,2025,2025-02-28,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=36,corporate,TD Business Chequing,chequing,,Bank fee,MONTHLY PLAN FEE,-19.00,CAD,-19.00,,,not_applicable,
tx-2025-bank-20250303-d956b02147,2025,2025-03-03,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=37,corporate,TD Business Chequing,chequing,,Tax payment/fee,TAX PYT FEE,-4.00,CAD,-4.00,,,not_applicable,
tx-2025-bank-20250304-9ae5307e27,2025,2025-03-04,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=38,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***PMC,1575.00,CAD,1575.00,,,missing,
tx-2025-bank-20250304-a6830be8e9,2025,2025-03-04,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=39,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***svp,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250307-614a3c10ec,2025,2025-03-07,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=40,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***Tj8,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250314-e84217e427,2025,2025-03-14,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=41,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***gsQ,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250317-cfcf5603a6,2025,2025-03-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=42,corporate,TD Business Chequing,chequing,,TD Transfer,UW303 TFR-TO C/C,-1768.37,CAD,-1768.37,,doc-20250315-td-canada-trust-1768.37CAD-d00611e413,found,
tx-2025-bank-20250317-2c22bcf443,2025,2025-03-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=43,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***vZp,2500.00,CAD,2500.00,,,missing,
tx-2025-bank-20250317-ebac84a34b,2025,2025-03-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=44,corporate,TD Business Chequing,chequing,,TD Transfer,UL102 TFR-TO 6084079,-10200.00,CAD,-10200.00,,doc-20250315-td-canada-trust-10200.00CAD-83e12bdf78,found,
tx-2025-bank-20250317-e52c1843fd,2025,2025-03-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=45,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***CFY,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250327-c6d028c1d6,2025,2025-03-27,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=46,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***A32,2000.00,CAD,2000.00,,doc-20250327-bmo-2000.00CAD-6a14a712a6,found,Linked evidence vendor: BMO
tx-2025-bank-20250327-ee7c403968,2025,2025-03-27,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=47,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***JhR,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250328-f4be85f240,2025,2025-03-28,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=48,corporate,TD Business Chequing,chequing,,Tax payment/fee,TXINS 7035130    BUS,-2700.00,CAD,-2700.00,,,not_applicable,
tx-2025-bank-20250331-df892b85f8,2025,2025-03-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=49,corporate,TD Business Chequing,chequing,,TD Transfer,RW231 TFR-TO 6084079,-2700.00,CAD,-2700.00,,doc-20250331-td-canada-trust-2700.00CAD-b6fb0ec597,found,
tx-2025-bank-20250331-21eee55b48,2025,2025-03-31,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=50,corporate,TD Business Chequing,chequing,,Bank fee,MONTHLY PLAN FEE,-19.00,CAD,-19.00,,,not_applicable,
tx-2025-bank-20250401-7957bb2747,2025,2025-04-01,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=51,corporate,TD Business Chequing,chequing,,Tax payment/fee,TAX PYT FEE,-2.00,CAD,-2.00,,,not_applicable,
tx-2025-bank-20250404-d79c2a46b8,2025,2025-04-04,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=52,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***dAE,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250411-a6dc05dbf8,2025,2025-04-11,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=53,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***v3g,6825.00,CAD,6825.00,,,missing,
tx-2025-bank-20250411-7e08c95198,2025,2025-04-11,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=54,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***Ayv,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250414-232ec9041e,2025,2025-04-14,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=55,corporate,TD Business Chequing,chequing,,TD Transfer,UH155 TFR-TO 6084079,-6500.00,CAD,-6500.00,,doc-20250412-td-canada-trust-6792.74CAD-152c236c6f,found,
tx-2025-bank-20250414-b71a4069c1,2025,2025-04-14,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=56,corporate,TD Business Chequing,chequing,,TD Transfer,UH200 TFR-TO C/C,-1845.91,CAD,-1845.91,,doc-20250412-td-canada-trust-4244.91CAD-91d4435299,found,
tx-2025-bank-20250417-2f774c97f2,2025,2025-04-17,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=57,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***rnK,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250430-b01d4a8fbc,2025,2025-04-30,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=58,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***gwp,4200.00,CAD,4200.00,,,missing,
tx-2025-bank-20250430-46615570b4,2025,2025-04-30,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=59,corporate,TD Business Chequing,chequing,,TD Transfer,HW213 TFR-TO 6084079,-2100.00,CAD,-2100.00,,doc-20250430-td-canada-trust-2100.00CAD-ee3bb663f9,found,
tx-2025-bank-20250430-db49b467af,2025,2025-04-30,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=60,corporate,TD Business Chequing,chequing,,Bank fee,MONTHLY PLAN FEE,-19.00,CAD,-19.00,,,not_applicable,
tx-2025-bank-20250501-b74bfd33f6,2025,2025-05-01,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=61,corporate,TD Business Chequing,chequing,,Tax payment/fee,GST-P  170450    BUS,-1500.00,CAD,-1500.00,,,not_applicable,
tx-2025-bank-20250508-7c15a71bd0,2025,2025-05-08,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=62,corporate,TD Business Chequing,chequing,,Interac e-Transfer,SEND E-TFR ***JuV,-2100.00,CAD,-2100.00,,,missing,
tx-2025-bank-20250512-7740b3cb62,2025,2025-05-12,bank_csv,FY2025/transactions/1_assets/TD_Business_accountactivity_20241225-20260208.csv,line=63,corporate,TD Business Chequing,chequing,,Interac e-Transfer,E-TRANSFER ***3pM,4200.00,CAD,4200.00,,,missing,
